,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,254,254,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253
1,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,254,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,253,253,253,253,253,253,253,253,254,254,254,254,254,254,254,254,254,254,255,255,254,254,254,254,254,254,254,254,254,255,254,254,254,254,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253
2,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,254,255,254,255,255,249,241,214,183,153,126,114,113,145,187,208,185,190,178,129,100,71,58,78,129,150,212,223,232,254,254,254,254,254,254,255,255,255,255,255,254,254,254,254,252,250,253,245,240,249,252,254,254,254,254,254,254,252,244,255,255,255,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,253,253,253,253,253
3,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,255,255,249,243,243,214,238,148,64,68,46,15,0,42,100,117,22,1,0,0,0,0,0,0,0,0,0,7,66,170,226,254,254,254,254,254,251,187,163,148,166,226,252,252,254,254,242,223,239,214,211,239,253,255,253,248,254,254,255,213,96,175,225,252,255,255,254,254,254,254,254,254,255,255,255,255,254,254,254,254,254,253,253,253
4,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,255,207,162,171,166,205,163,168,155,132,108,60,45,163,235,147,49,37,15,0,0,0,0,0,0,0,0,0,0,121,255,255,254,254,254,254,254,254,212,124,189,207,250,254,254,254,254,255,255,255,255,223,212,210,247,255,253,255,255,255,239,197,185,85,118,170,222,255,255,255,255,254,251,223,225,244,248,253,253,253,254,254,254,254,253
5,255,253,253,253,254,255,255,255,255,255,255,253,254,255,255,170,105,115,129,165,155,216,108,129,108,113,109,126,224,255,255,245,247,221,56,0,0,0,0,0,0,0,3,21,159,254,254,254,254,254,254,254,254,255,255,255,255,255,255,254,254,254,254,255,234,128,153,216,239,230,249,255,229,169,77,29,7,8,0,8,42,122,200,229,201,213,255,255,192,158,220,229,255,255,255,254,254,255,255,255
6,227,255,254,254,253,212,174,193,217,236,244,255,255,244,237,141,131,77,41,39,42,187,151,89,181,101,23,28,32,102,183,255,255,255,183,51,1,0,0,0,0,0,13,97,247,255,254,248,253,254,254,254,254,255,255,246,213,189,230,255,255,255,255,255,178,124,255,255,217,41,124,87,57,10,0,0,0,0,0,8,10,1,1,16,3,22,152,131,116,38,55,92,176,176,223,253,255,250,250,242
7,141,229,250,238,113,8,0,0,8,24,36,76,69,36,30,55,73,72,67,49,33,117,147,72,42,144,41,144,167,60,1,130,228,254,244,94,2,0,0,0,7,66,120,217,255,255,255,253,254,254,254,254,255,253,126,39,4,0,29,79,136,238,208,192,139,129,103,55,81,16,90,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,55,74,68,44,62
8,87,67,169,208,100,17,0,0,0,0,0,0,0,0,0,0,0,0,11,7,1,4,0,5,0,26,83,222,213,117,0,49,138,252,251,64,0,0,10,91,188,255,255,191,114,112,235,255,254,254,254,255,255,128,0,0,75,6,0,52,109,85,49,17,0,0,0,0,0,16,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
9,255,236,239,239,109,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,86,204,168,210,175,147,102,110,246,255,255,208,23,0,128,255,255,255,254,235,165,195,249,251,250,255,255,210,89,0,18,149,71,0,0,10,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,29,0,0,34,122
